course_duration_weeks,prior_courses_completed,session_duration_minutes,engagement_score,age,videos_watched,total_posts,avg_session_duration,activity_rate,study_consistency,completion_status,gender,region,internet_access_type,education_level,employment_status,device_type,learning_goal,course_category,difficulty_level,assessment_type
24.0,7.0,11.1,23.33333333333333,17.0,17.0,30.0,27.4,255.3,413.74,Ongoing,Female,Region Vii,Mobile,Graduate,Student,Desktop,Academic Requirement,Business,Beginner,Assignment
10.0,7.0,37.8,25.0,55.0,35.0,10.0,141.9,1134.0,1929.84,Completed,Female,Region Vi,Mobile,Graduate,Student,Mobile,Career Change,Business,Intermediate,Quiz
9.0,12.0,89.6,7.0,45.0,0.0,3.0,101.3,1612.8,1539.76,Dropped,Male,Region Vii,Broadband,Graduate,Unemployed,Laptop,Academic Requirement,Arts,Intermediate,Quiz
11.0,0.0,100.6,24.33333333333333,35.0,35.0,16.0,81.9,2213.2,335.79,Ongoing,Male,Region X,Mobile,High School,Employed,Laptop,Academic Requirement,IT,Beginner,Final Exam
22.0,10.0,122.0,36.5,35.5,75.5,20.0,78.4,1708.0,2308.88,Dropped,Male,Region Vii,Mobile,College,Student,Mobile,Career Change,Business,Intermediate,Quiz
21.0,1.0,108.5,14.333333333333334,50.0,3.0,16.0,268.7875,2604.0,2741.6325,Dropped,Male,Ncr,Broadband,College,Student,Laptop,Personal Interest,Science,Intermediate,Quiz
22.0,4.0,261.9125,20.666666666666668,42.0,28.0,22.0,177.3,3142.9500000000003,2588.58,Ongoing,Female,Region Iii,Broadband,College,Student,Laptop,Personal Interest,Science,Intermediate,Final Exam
12.0,1.0,170.7,10.666666666666666,33.0,23.0,4.0,17.1,853.5,294.12,Dropped,Male,Region V,Broadband,College,Student,Mobile,Skill Upgrade,Business,Beginner,Quiz
11.0,7.0,57.5,15.666666666666666,31.0,34.0,0.0,175.0,747.5,3255.0000000000005,Dropped,Male,Metro Manila,Broadband,High School,Student,Mobile,Personal Interest,Science,Beginner,Quiz
17.0,2.0,74.5,13.333333333333334,18.0,19.0,15.0,58.8,447.0,882.0,Completed,Male,Region Iii,Limited,College,Employed,Mobile,Personal Interest,Math,Intermediate,Final Exam
24.0,2.0,128.3,16.666666666666668,55.0,7.0,25.0,100.3,2309.4,2953.835,Completed,Female,Region Vii,Limited,College,Student,Laptop,Academic Requirement,IT,Beginner,Assignment
8.0,14.0,102.2,16.333333333333332,46.0,24.0,18.0,13.3,715.4,144.97,Completed,Female,Region Vii,Broadband,College,Employed,Laptop,Skill Upgrade,Business,Intermediate,Final Exam
17.0,5.0,87.3,30.0,54.0,48.0,13.0,94.9,2531.7,797.1600000000001,Completed,Male,Region Vii,Broadband,College,Unemployed,Mobile,Personal Interest,Math,Advanced,Final Exam
16.0,3.0,141.3,39.0,31.0,50.0,47.0,82.8,2826.0,488.52,Completed,Non-Binary,Ncr,Limited,College,Employed,Tablet,Academic Requirement,Business,Beginner,Assignment
19.0,10.0,159.7,14.666666666666666,49.0,33.0,2.0,79.1,1437.3,735.63,Dropped,Female,Region X,Limited,College,Unemployed,Desktop,Skill Upgrade,Business,Intermediate,Quiz
19.0,3.0,71.3,38.5,51.0,75.5,17.0,170.5,1639.9,1636.8,Completed,Female,Region Viii,Limited,College,Employed,Tablet,Skill Upgrade,IT,Beginner,Assignment
16.0,2.0,115.6,26.0,20.0,48.0,6.0,23.8,2774.4,90.44,Ongoing,Male,Region Vi,Broadband,College,Student,Mobile,Skill Upgrade,Math,Intermediate,Final Exam
18.0,4.0,111.7,18.666666666666668,30.0,25.0,7.0,152.1,2680.8,1718.73,Ongoing,Non-Binary,Region X,Broadband,College,Employed,Mobile,Skill Upgrade,Business,Advanced,Quiz
14.0,10.0,10.2,15.333333333333334,43.0,12.0,19.0,116.3,153.0,825.7299999999999,Dropped,Male,Ncr,Limited,College,Employed,Laptop,Skill Upgrade,Business,Intermediate,Quiz
10.0,9.0,144.3,18.666666666666668,35.5,17.0,9.0,152.4,4329.0,2026.92,Completed,Female,Ncr,Mobile,High School,Employed,Mobile,Career Change,Science,Intermediate,Assignment
18.0,12.0,-72.1875,19.666666666666668,31.0,21.0,12.0,154.8,-1876.875,2337.48,Completed,Male,Barmm,Broadband,College,Student,Laptop,Personal Interest,Arts,Beginner,Final Exam
22.0,1.0,50.9,17.666666666666668,30.0,40.0,8.0,162.8,254.5,1530.3200000000002,Completed,Female,Ncr,Broadband,High School,Employed,Mobile,Career Change,Business,Intermediate,Assignment
19.0,0.0,42.3,23.666666666666668,28.0,42.0,4.0,163.6,1057.5,1946.84,Completed,Male,Ncr,Broadband,College,Unemployed,Laptop,Skill Upgrade,Business,Beginner,Assignment
21.0,14.0,124.4,20.666666666666668,39.0,40.0,3.0,90.2,2363.6,1371.04,Ongoing,Female,Caraga,Mobile,College,Unemployed,Laptop,Career Change,IT,Beginner,Final Exam
34.0,13.0,126.6,25.33333333333333,35.0,25.0,30.0,154.2,2658.6,1480.32,Completed,Male,Ncr,Broadband,Graduate,Student,Laptop,Skill Upgrade,Science,Beginner,Assignment
11.0,4.0,99.4,14.0,53.0,23.0,3.0,47.7,1590.4,52.470000000000006,Completed,Male,Region Xi,Broadband,High School,Student,Tablet,Career Change,IT,Intermediate,Final Exam
7.0,10.0,87.1,11.666666666666666,-4.0,20.0,11.0,126.8,348.4,786.16,Completed,Male,Region Xi,Mobile,High School,Student,Mobile,Academic Requirement,Arts,Intermediate,Quiz
21.0,3.0,121.8,24.666666666666668,23.0,44.0,29.0,11.0,121.8,213.4,Dropped,Non-Binary,Ncr,Broadband,College,Employed,Mobile,Personal Interest,IT,Intermediate,Final Exam
17.0,14.0,261.9125,22.33333333333333,36.0,49.0,8.0,30.4,2619.125,895.28,Dropped,Female,Region X,Mobile,High School,Student,Mobile,Skill Upgrade,Math,Intermediate,Assignment
7.0,3.0,47.7,5.333333333333333,17.0,7.0,6.0,69.4,143.10000000000002,603.78,Dropped,Male,Ncr,Broadband,Graduate,Employed,Tablet,Skill Upgrade,IT,Advanced,Quiz
15.0,10.0,58.8,26.666666666666668,45.0,38.0,14.0,172.2,1646.4,2255.82,Completed,Female,Region Vi,Broadband,College,Unemployed,Mobile,Career Change,Arts,Intermediate,Quiz
24.0,11.0,133.0,19.0,21.0,9.0,18.0,165.8,3990.0,1823.8,Ongoing,Male,Ncr,Broadband,Graduate,Employed,Desktop,Personal Interest,Science,Intermediate,Quiz
21.0,15.0,36.2,11.333333333333334,49.0,10.0,1.0,125.0,832.6,862.5,Dropped,Non-Binary,Region Iv-A,Limited,College,Student,Laptop,Skill Upgrade,IT,Beginner,Assignment
20.0,4.0,97.3,15.0,52.0,14.0,28.0,268.7875,291.9,2956.6625000000004,Completed,Female,Region Ix,Broadband,College,Employed,Desktop,Skill Upgrade,Business,Intermediate,Assignment
-6.0,6.0,152.2,23.33333333333333,46.0,32.0,22.0,83.0,2435.2,-91.3,Ongoing,Male,Region Viii,Broadband,Graduate,Employed,Tablet,Skill Upgrade,IT,Advanced,Quiz
21.0,7.0,91.4,15.0,40.0,49.0,1.0,17.4,-457.0,22.62,Ongoing,Male,Region I,Broadband,College,Employed,Mobile,Skill Upgrade,IT,Advanced,Quiz
9.0,15.0,112.4,39.16666666666666,37.0,75.5,19.0,56.7,2585.2000000000003,419.58,Dropped,Female,Region Iv-A,Broadband,Hs,Employed,Laptop,Academic Requirement,Business,Beginner,Quiz
14.0,14.0,75.8,24.33333333333333,18.0,45.0,19.0,165.8,682.1999999999999,1740.9,Completed,Female,Region Ix,Broadband,College,Employed,Laptop,Career Change,Science,Intermediate,Quiz
15.0,7.0,179.9,15.0,50.0,26.0,2.0,-63.9,3058.3,-837.0899999999999,Completed,Female,Barmm,Mobile,High School,Employed,Tablet,Academic Requirement,IT,Intermediate,Assignment
24.0,2.0,105.8,16.666666666666668,49.0,41.0,8.0,140.4,105.8,2667.6,Ongoing,Male,Region Vii,Broadband,Graduate,Student,Laptop,Skill Upgrade,Business,Beginner,Quiz
7.0,11.0,156.9,23.666666666666668,26.0,20.0,23.0,139.7,4393.2,963.93,Completed,Male,Region Iv-A,Mobile,College,Student,Mobile,Career Change,IT,Intermediate,Final Exam
